structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
mvtable_simd,panda,bookshelf_small,34,0.048,2403,true,0.000119644,0.00015149,7,4
mvtable_mutable_simd,panda,bookshelf_small,34,0.048,2403,true,0.000116843,0.000182797,7,4
capt_simd,panda,bookshelf_small,34,0.048,2403,true,0.000147788,0.004119499,7,4
mvtable,panda,bookshelf_small,35,0.048,2345,true,0.000120007,0.00016496,10,5
mvtable_mutable,panda,bookshelf_small,35,0.048,2345,true,0.000106567,0.000175279,10,5
capt,panda,bookshelf_small,35,0.048,2345,true,0.000206982,0.003488189,10,5
kiddo,panda,bookshelf_small,35,0.048,2345,true,0.000651013,0.000129612,10,5
mvtable_simd,panda,bookshelf_small,35,0.048,2345,true,0.000112536,0.000145815,10,5
mvtable_mutable_simd,panda,bookshelf_small,35,0.048,2345,true,0.000102565,0.000176453,10,5
capt_simd,panda,bookshelf_small,35,0.048,2345,true,0.000171574,0.004108008,10,5
mvtable,panda,bookshelf_small,36,0.048,2362,true,0.000302915,0.00016804,107,6
mvtable_mutable,panda,bookshelf_small,36,0.048,2362,true,0.000277728,0.000178081,107,6
capt,panda,bookshelf_small,36,0.048,2362,true,0.000583698,0.003351944,107,6
kiddo,panda,bookshelf_small,36,0.048,2362,true,0.000835728,0.000104187,107,6
mvtable_simd,panda,bookshelf_small,36,0.048,2362,true,0.000291579,0.000177552,107,6
mvtable_mutable_simd,panda,bookshelf_small,36,0.048,2362,true,0.000280032,0.000179035,107,6
capt_simd,panda,bookshelf_small,36,0.048,2362,true,0.000392424,0.004058674,107,6
mvtable,panda,bookshelf_small,37,0.048,2367,true,0.000101552,0.000176194,7,4
mvtable_mutable,panda,bookshelf_small,37,0.048,2367,true,0.000089913,0.000170452,7,4
capt,panda,bookshelf_small,37,0.048,2367,true,0.000197535,0.003432753,7,4
kiddo,panda,bookshelf_small,37,0.048,2367,true,0.000374321,0.000105097,7,4
mvtable_simd,panda,bookshelf_small,37,0.048,2367,true,0.000094968,0.000139495,7,4
mvtable_mutable_simd,panda,bookshelf_small,37,0.048,2367,true,0.000085227,0.000170544,7,4
capt_simd,panda,bookshelf_small,37,0.048,2367,true,0.000149405,0.004072518,7,4
mvtable,panda,bookshelf_small,38,0.048,2374,true,0.000124213,0.000159551,1,5
mvtable_mutable,panda,bookshelf_small,38,0.048,2374,true,0.000116005,0.000179929,1,5
capt,panda,bookshelf_small,38,0.048,2374,true,0.000182699,0.003455566,1,5
kiddo,panda,bookshelf_small,38,0.048,2374,true,0.000293051,0.000105719,1,5
mvtable_simd,panda,bookshelf_small,38,0.048,2374,true,0.000113717,0.000147271,1,5
mvtable_mutable_simd,panda,bookshelf_small,38,0.048,2374,true,0.000108141,0.000179992,1,5
capt_simd,panda,bookshelf_small,38,0.048,2374,true,0.00012739,0.003991287,1,5
mvtable,panda,bookshelf_small,39,0.048,2276,true,0.00005876,0.000157431,1,5
mvtable_mutable,panda,bookshelf_small,39,0.048,2276,true,0.000055017,0.00016599,1,5
capt,panda,bookshelf_small,39,0.048,2276,true,0.000098718,0.003361088,1,5
kiddo,panda,bookshelf_small,39,0.048,2276,true,0.000329059,0.000102666,1,5
mvtable_simd,panda,bookshelf_small,39,0.048,2276,true,0.000052166,0.000147352,1,5
mvtable_mutable_simd,panda,bookshelf_small,39,0.048,2276,true,0.000047211,0.000164832,1,5
capt_simd,panda,bookshelf_small,39,0.048,2276,true,0.000097086,0.00396487,1,5
mvtable,panda,bookshelf_small,40,0.048,2295,true,0.000162748,0.000147597,36,6
mvtable_mutable,panda,bookshelf_small,40,0.048,2295,true,0.000254316,0.000161189,36,6
capt,panda,bookshelf_small,40,0.048,2295,true,0.00037553,0.003119454,36,6
kiddo,panda,bookshelf_small,40,0.048,2295,true,0.000578369,0.000101792,36,6
mvtable_simd,panda,bookshelf_small,40,0.048,2295,true,0.000144208,0.000154327,36,6
mvtable_mutable_simd,panda,bookshelf_small,40,0.048,2295,true,0.000133807,0.000160081,36,6
capt_simd,panda,bookshelf_small,40,0.048,2295,true,0.000218012,0.003973045,36,6
mvtable,panda,bookshelf_small,41,0.048,2381,true,0.000228171,0.000203668,7,7
mvtable_mutable,panda,bookshelf_small,41,0.048,2381,true,0.000206075,0.00017282,7,7
capt,panda,bookshelf_small,41,0.048,2381,true,0.00041027,0.003360384,7,7
kiddo,panda,bookshelf_small,41,0.048,2381,true,0.000537278,0.000106089,7,7
mvtable_simd,panda,bookshelf_small,41,0.048,2381,true,0.00020393,0.000149679,7,7
mvtable_mutable_simd,panda,bookshelf_small,41,0.048,2381,true,0.000203597,0.000173099,7,7
capt_simd,panda,bookshelf_small,41,0.048,2381,true,0.000231391,0.004066657,7,7
mvtable,panda,bookshelf_small,42,0.048,2290,true,0.000050349,0.000155372,1,4
mvtable_mutable,panda,bookshelf_small,42,0.048,2290,true,0.000045217,0.000161929,1,4
capt,panda,bookshelf_small,42,0.048,2290,true,0.000086458,0.003354671,1,4
kiddo,panda,bookshelf_small,42,0.048,2290,true,0.000365349,0.000103521,1,4
mvtable_simd,panda,bookshelf_small,42,0.048,2290,true,0.000042652,0.000133675,1,4
mvtable_mutable_simd,panda,bookshelf_small,42,0.048,2290,true,0.000036929,0.000160656,1,4
